pmid	geneId	diseaseId	gene_name	disease_name	label	pred	prob	is_confilct	r1_label	comment	sure	Ann error (GD/ikrm)	Complex(m, M, L, n,  S, C)	Have -	Have +	S no strong	In which snt (0, e, 1, m, bg|d)	snt
7937790	3561	D007153	SCIDX1 | interleukin 2 receptor gamma	immunodeficiency | immunodeficiency disease | partial immunodeficiency	0	1	0.9708693027	1	1			Gm					e	This atypical SCIDX1 patient demonstrates that certain IL-2R gamma chain abnormalities can also result in partial immunodeficiency phenotypes
7937790	3561	D053632	SCIDX1 | interleukin 2 receptor gamma	SCIDX1 syndrome	1	0	0.2987159491	1	1			Gm					1bg	X chromosome-linked severe combined immunodeficiency disease (SCIDX1) is characterized by the absence of T-cell and natural killer cell development and results from molecular mutations of the interleukin 2 receptor (IL-2R) gamma chain.
7937790	3565	D007153	IL-4	immunodeficiency | immunodeficiency disease | partial immunodeficiency	0	0	0.01638620161	0										
7937790	3565	D053632	IL-4	SCIDX1 syndrome	0	0	0.003269499866	0										
8083355	2885	D003920	GRB2	diabetes	0	0	0.003086013487	0										
8083355	2885	D003924	GRB2	non-insulin-dependent diabetes	0	0	0.3181617856	0										
8083355	3630	D003920	insulin	diabetes	0	0	0.002980746562	0										
8083355	3630	D003924	insulin	non-insulin-dependent diabetes	0	0	0.1940194368	0										
8083355	3667	D003920	IRS-1 | Insulin receptor substrate-1	diabetes	0	0	0.007780016866	0										
8083355	3667	D003924	IRS-1 | Insulin receptor substrate-1	non-insulin-dependent diabetes	1	1	0.9767505527	0										
8094629	1813	D011618	DRD2 | dopamine receptor D2	schizophrenia or schizoaffective disorder	0	0	0.005308152642	0										
8094629	1813	D012559	DRD2 | dopamine receptor D2	schizophrenia	0	0	0.0524036102	0										
8094629	3145	D011618	PBGD | porphobilinogen deaminase	schizophrenia or schizoaffective disorder	0	0	0.01698671281	0										
8094629	3145	D012559	PBGD | porphobilinogen deaminase	schizophrenia	1	1	0.9874897599	0										
8275568	338	D009765	apo B | apolipoprotein B	obesity	1	1	0.9763660431	0										
8406498	1287	D009394	COL4A5	Alport syndrome	1	1	0.9916180968	0										
8486375	1280	D002357	COL2A1	cartilage diseases | cartilage disorders	0	0	0.2472143769	0										
8486375	1280	D010009	COL2A1	chondrodysplasia | osteochondrodysplasia | spondyloepiphyseal dysplasia	1	1	0.9896098375	0										
8698225	3553	D003092	IL-1beta | interleukin (IL) 1beta | interleukin 1beta	Colitis | colitis	0	0	0.01267410535	0										
8698225	3553	D064420	IL-1beta | interleukin (IL) 1beta | interleukin 1beta	cytotoxicity | toxicity	0	0	0.002592978766	0										
8698225	3569	D003092	IL-6	Colitis | colitis	0	0	0.009950369596	0										
8698225	3569	D064420	IL-6	cytotoxicity | toxicity	0	0	0.002466545207	0										
8698225	4843	D003092	Inducible nitric oxide synthase | iNOS | inducible nitric oxide synthase	Colitis | colitis	1	1	0.9903381467	0										
8698225	4843	D064420	Inducible nitric oxide synthase | iNOS | inducible nitric oxide synthase	cytotoxicity | toxicity	0	0	0.07089413702	0										
8698225	6648	D003092	Manganese superoxide dismutase | MnSOD	Colitis | colitis	0	0	0.07566019148	0										
8698225	6648	D064420	Manganese superoxide dismutase | MnSOD	cytotoxicity | toxicity	0	0	0.003092963248	0										
8698225	7124	D003092	tumor necrosis factor alpha	Colitis | colitis	0	0	0.01007952821	0										
8698225	7124	D064420	tumor necrosis factor alpha	cytotoxicity | toxicity	0	0	0.002472696127	0										
8846404	103694380	D006940	tumor necrosis factor	hyperemia | hyperemic	0	0	0.02100158669	0										
8846404	103694380	D006973	tumor necrosis factor	increase of plantar cutaneous blood flow	0	0	0.01004542876	0										
8846404	103694380	D009336	tumor necrosis factor	tumor necrosis	0	0	0.009642696008	0										
8846404	103694380	D016116	tumor necrosis factor	cutaneous hyperemic	0	0	0.01171009336	0										
8846404	103694380	D020258	tumor necrosis factor	neurotoxic	0	0	0.00956488587	0										
8846404	3553	D006940	IL-1 beta | Interleukin 1 beta | interleukin 1 beta	hyperemia | hyperemic	1	1	0.6796007156	0										
8846404	3553	D006973	IL-1 beta | Interleukin 1 beta | interleukin 1 beta	increase of plantar cutaneous blood flow	0	0	0.01518292446	0										
8846404	3553	D009336	IL-1 beta | Interleukin 1 beta | interleukin 1 beta	tumor necrosis	0	0	0.01880966313	0										
8846404	3553	D016116	IL-1 beta | Interleukin 1 beta | interleukin 1 beta	cutaneous hyperemic	0	0	0.01889893413	0										
8846404	3553	D020258	IL-1 beta | Interleukin 1 beta | interleukin 1 beta	neurotoxic	0	0	0.009074766189	0										
8846404	4049	D006940	TNF beta	hyperemia | hyperemic	0	0	0.007515199948	0										
8846404	4049	D006973	TNF beta	increase of plantar cutaneous blood flow	0	0	0.004527973942	0										
8846404	4049	D009336	TNF beta	tumor necrosis	0	0	0.004456468392	0										
8846404	4049	D016116	TNF beta	cutaneous hyperemic	0	0	0.004896875471	0										
8846404	4049	D020258	TNF beta	neurotoxic	0	0	0.004414013587	0										
8846404	7124	D006940	TNF alpha	hyperemia | hyperemic	0	0	0.01208966784	0										
8846404	7124	D006973	TNF alpha	increase of plantar cutaneous blood flow	0	0	0.005864957348	0										
8846404	7124	D009336	TNF alpha	tumor necrosis	0	0	0.005752315745	0										
8846404	7124	D016116	TNF alpha	cutaneous hyperemic	0	0	0.006509112194	0										
8846404	7124	D020258	TNF alpha	neurotoxic	0	0	0.005763936788	0										
8931914	1636	D012559	ACE | angiotensin converting enzyme	schizophrenia	0	0	0.0295459684	0										
8931914	1636	D019964	ACE | angiotensin converting enzyme	affective disorders	1	1	0.9879001379	0										
8931914	6863	D012559	SP | substance P	schizophrenia	0	0	0.01004276425	0										
8931914	6863	D019964	SP | substance P	affective disorders	0	1	0.8402155042	1	0			Gi						
9058314	1791	D003920	TDT	Diabetes	0	0	0.00208321074	0										
9058314	1791	D003922	TDT	IDDM | insulin-dependent diabetes mellitus	0	1	0.9818704128	1	0			Gi						
9058314	3119	D003920	HLA-DQB1	Diabetes	0	0	0.002190423431	0										
9058314	3119	D003922	HLA-DQB1	IDDM | insulin-dependent diabetes mellitus	0	0	0.1055351645	0										
9058314	3458	D003920	IFN-gamma | IFNG | interferon (IFN)-gamma | interferon-gamma	Diabetes	0	0	0.005082879215	0										
9058314	3458	D003922	IFN-gamma | IFNG | interferon (IFN)-gamma | interferon-gamma	IDDM | insulin-dependent diabetes mellitus	1	1	0.9910641909	0										
9109174	1312	D000437	COMT | catechol-O-methyltransferase	alcohol abuse	0	1	0.9701686502	1	0									
9109174	1312	D012559	COMT | catechol-O-methyltransferase	schizophrenia | schizophrenic	1	1	0.9895267487	0										
9129724	1137	D001008	CHRNA4 | Neuronal nicotinic acetylcholine receptor alpha 4 subunit | neuronal nicotinic acetylcholine receptor alpha 4 subunit	Anxiety disorders	0	0	0.05405659974	0										
9129724	1137	D016584	CHRNA4 | Neuronal nicotinic acetylcholine receptor alpha 4 subunit | neuronal nicotinic acetylcholine receptor alpha 4 subunit	panic disorder	1	1	0.994268775	0										
9187681	6094	D012162	ROM1	retinal degeneration	0	1	0.8366753459	1	0									
9187681	6094	D012174	ROM1	Retinitis pigmentosa | retinitis pigmentosa	1	1	0.9748800397	0										
9210877	7249	D001254	TSC | TSC2	astrocytic gliomas | astrocytomas | pilocytic astrocytomas	0	0	0.02311053686	0										
9210877	7249	D004194	TSC | TSC2	dysplastic glial | glial tumors	0	0	0.00719503453	0										
9210877	7249	D005909	TSC | TSC2	glioblastomas	0	0	0.008388842456	0										
9210877	7249	D005910	TSC | TSC2	gliomas	0	1	0.5835098624	1	0									
9210877	7249	D006222	TSC | TSC2	hamartomas and tumors	0	1	0.8966174722	1	0.5	only		Di					1	The tuberous sclerosis 2 (TSC2) gene is thought to function as a growth suppressor in sporadic and TSC-associated hamartomas and tumors.
9210877	7249	D009369	TSC | TSC2	tumors	0	0	0.01777294651	0										
9210877	7249	D014402	TSC | TSC2	gangliogliomas and cortical tubers in tuberous sclerosis | tuberous sclerosis | tubers	0	1	0.9897758961	1	0				n					
9210877	7249	D018303	TSC | TSC2	gangliogliomas | sporadic gangliogliomas	1	1	0.970115602	0										
9353155	1493	C537447	CTLA-4 | cytotoxic T lymphocyte-associated protein 4	Belgian Diabetes	0	0	0.004183278885	0										
9353155	1493	C538275	CTLA-4 | cytotoxic T lymphocyte-associated protein 4	polyendocrine autoimmunity	0	0	0.004399864469	0										
9353155	1493	D003920	CTLA-4 | cytotoxic T lymphocyte-associated protein 4	diabetes	0	0	0.00291252695	0										
9353155	1493	D003922	CTLA-4 | cytotoxic T lymphocyte-associated protein 4	IDDM | insulin-dependent diabetes mellitus	1	1	0.991799891	0										
9353155	2572	C537447	GAD65	Belgian Diabetes	0	0	0.002492533298	0										
9353155	2572	C538275	GAD65	polyendocrine autoimmunity	0	0	0.00234173052	0										
9353155	2572	D003920	GAD65	diabetes	0	0	0.002273017308	0										
9353155	2572	D003922	GAD65	IDDM | insulin-dependent diabetes mellitus	0	0	0.009258325212	0										
9353155	2752	C537447	glutamate decarboxylase	Belgian Diabetes	0	0	0.002480040304	0										
9353155	2752	C538275	glutamate decarboxylase	polyendocrine autoimmunity	0	0	0.002343708649	0										
9353155	2752	D003920	glutamate decarboxylase	diabetes	0	0	0.002252877923	0										
9353155	2752	D003922	glutamate decarboxylase	IDDM | insulin-dependent diabetes mellitus	0	0	0.00799251534	0										
9353155	3117	C537447	DQA1 | HLA | HLA-DQA1	Belgian Diabetes	0	0	0.003295594128	0										
9353155	3117	C538275	DQA1 | HLA | HLA-DQA1	polyendocrine autoimmunity	0	0	0.00350455544	0										
9353155	3117	D003920	DQA1 | HLA | HLA-DQA1	diabetes	0	0	0.003086164827	0										
9353155	3117	D003922	DQA1 | HLA | HLA-DQA1	IDDM | insulin-dependent diabetes mellitus	0	0	0.4068070948	0										
9353155	3119	C537447	IDDM1	Belgian Diabetes	0	0	0.002504227683	0										
9353155	3119	C538275	IDDM1	polyendocrine autoimmunity	0	0	0.002352438401	0										
9353155	3119	D003920	IDDM1	diabetes	0	0	0.002259947127	0										
9353155	3119	D003922	IDDM1	IDDM | insulin-dependent diabetes mellitus	0	0	0.009142844006	0										
9353155	3126	C537447	DR4	Belgian Diabetes	0	0	0.002500345232	0										
9353155	3126	C538275	DR4	polyendocrine autoimmunity	0	0	0.002350330818	0										
9353155	3126	D003920	DR4	diabetes	0	0	0.002293753671	0										
9353155	3126	D003922	DR4	IDDM | insulin-dependent diabetes mellitus	0	0	0.006740125362	0										
9353155	3630	C537447	IAA | IDDM2 | insulin | insulin (IAA)	Belgian Diabetes	0	0	0.002453398891	0										
9353155	3630	C538275	IAA | IDDM2 | insulin | insulin (IAA)	polyendocrine autoimmunity	0	0	0.002318827668	0										
9353155	3630	D003920	IAA | IDDM2 | insulin | insulin (IAA)	diabetes	0	0	0.002233396284	0										
9353155	3630	D003922	IAA | IDDM2 | insulin | insulin (IAA)	IDDM | insulin-dependent diabetes mellitus	0	0	0.008233305067	0										
9353155	5798	C537447	IA-2	Belgian Diabetes	0	0	0.002504875651	0										
9353155	5798	C538275	IA-2	polyendocrine autoimmunity	0	0	0.00234449585	0										
9353155	5798	D003920	IA-2	diabetes	0	0	0.002283069305	0										
9353155	5798	D003922	IA-2	IDDM | insulin-dependent diabetes mellitus	0	0	0.01607814431	0										
9452024	5009	D020163	OTC | ornithine transcarbamylase	OTC deficiency	1	1	0.9831950068	0										
9502772	2247	D000168	FGF-2	Apert syndrome | Apert syndromic craniosynostosis	0	0	0.02047659084	0										
9502772	2263	D000168	FGFR-2 | fibroblast growth factor receptor 2	Apert syndrome | Apert syndromic craniosynostosis	1	1	0.9907910824	0										
9643286	7356	D001249	CC16	asthma	1	1	0.9944278002	0										
9643286	7356	D007249	CC16	inflammation	0	0	0.06270052493	0										
9649566	348	D006952	APOE*2 | Apoe | Apoe*2 | apoE | apoE2 | apoE3 | apolipoprotein E	Type III hyperlipoproteinemia | type III hyperlipoproteinemia	1	1	0.9869331717	0										
9649566	348	D014973	APOE*2 | Apoe | Apoe*2 | apoE | apoE2 | apoE3 | apolipoprotein E	xanthomas	0	0	0.06012869999	0										
9649566	348	D050197	APOE*2 | Apoe | Apoe*2 | apoE | apoE2 | apoE3 | apolipoprotein E	atherosclerosis | atherosclerotic	1	1	0.9938878417	0										
9663473	2212	C531622	Fcgamma receptor IIa | FcgammaRIIa	lupus anticoagulant	0	0	0.006621866953	0										
9663473	2212	D000743	Fcgamma receptor IIa | FcgammaRIIa	hemolytic anemia	0	0	0.01138758659	0										
9663473	2212	D001168	Fcgamma receptor IIa | FcgammaRIIa	arthritis	0	0	0.006615994964	0										
9663473	2212	D003449	Fcgamma receptor IIa | FcgammaRIIa	cryoglobulinemia	0	0	0.006561833899	0										
9663473	2212	D006402	Fcgamma receptor IIa | FcgammaRIIa	hematologic abnormalities	0	0	0.006904308684	0										
9663473	2212	D007153	Fcgamma receptor IIa | FcgammaRIIa	immunologic abnormalities	0	0	0.006804344244	0										
9663473	2212	D008180	Fcgamma receptor IIa | FcgammaRIIa	SLE | systemic lupus erythematosus	1	1	0.9943249822	0										
9663473	2212	D008199	Fcgamma receptor IIa | FcgammaRIIa	lymphadenitis	0	0	0.006692562252	0										
9663473	2212	D009393	Fcgamma receptor IIa | FcgammaRIIa	nephritis	0	0	0.00663660001	0										
9663473	2212	D011507	Fcgamma receptor IIa | FcgammaRIIa	proteinuria	0	0	0.03006195836	0										
9663473	2212	D012859	Fcgamma receptor IIa | FcgammaRIIa	sicca syndrome	0	0	0.006690616254	0										
9663473	3502	C531622	IgG3	lupus anticoagulant	0	0	0.002850181889	0										
9663473	3502	D000743	IgG3	hemolytic anemia	0	0	0.003254000563	0										
9663473	3502	D001168	IgG3	arthritis	0	0	0.002855350031	0										
9663473	3502	D003449	IgG3	cryoglobulinemia	0	0	0.002844864968	0										
9663473	3502	D006402	IgG3	hematologic abnormalities	0	0	0.00287346635	0										
9663473	3502	D007153	IgG3	immunologic abnormalities	0	0	0.002864380134	0										
9663473	3502	D008180	IgG3	SLE | systemic lupus erythematosus	0	0	0.04766330123	0										
9663473	3502	D008199	IgG3	lymphadenitis	0	0	0.002855712315	0										
9663473	3502	D009393	IgG3	nephritis	0	0	0.002851014258	0										
9663473	3502	D011507	IgG3	proteinuria	0	0	0.004154247232	0										
9663473	3502	D012859	IgG3	sicca syndrome	0	0	0.002854794497	0										
9731715	10	D008175	NAT2	lung cancer	0	1	0.9475662708	1	0					1			e	No significant association was found between NAT2 genotype and lung cancer.
9731715	10	D009369	NAT2	cancer	0	0	0.0207234025	0										
9731715	9	D008175	NAT1	lung cancer	1	1	0.9905810952	0										
9731715	9	D009369	NAT1	cancer	0	0	0.02110602707	0										
9741700	335	D007863	apolipoprotein A-I	familial lecithin:cholesterol acyltransferase deficiency | lecithin:cholesterol acyltransferase (LCAT) deficiency	0	1	0.950718224	1	0									
9741700	3931	D007863	LCAT	familial lecithin:cholesterol acyltransferase deficiency | lecithin:cholesterol acyltransferase (LCAT) deficiency	1	1	0.9896172285	0										
9764905	1234	D015658	CCR-5	HIV infection	1	1	0.9731190205	0										
9764905	7852	D015658	CXCR-4	HIV infection	0	0	0.00760525465	0										
9792863	7389	D000437	URO-D | uroporphyrinogen decarboxylase	alcohol abuse	0	1	0.9290283918	1	0									
9792863	7389	D006432	URO-D | uroporphyrinogen decarboxylase	hemochromatosis	0	1	0.9877659082	1	0				n					
9792863	7389	D017119	URO-D | uroporphyrinogen decarboxylase	Familial porphyria cutanea tarda	1	0	0.3708319068	1	1				n	1	1		1bg	Familial porphyria cutanea tarda (f-PCT) results from the half-normal activity of uroporphyrinogen decarboxylase (URO-D). However, there was no clear correlation between f-PCT disease severity and the URO-D and/or hemochromatosis genotypes.
9800221	1814	D012559	D3 dopamine receptor | DRD3	schizophrenia	1	1	0.9625311494	0										
9843210	2706	C537845	GJB2 | connexin 26	hereditary hearing impairment	0	0	0.004084024113	0										
9843210	2706	D003638	GJB2 | connexin 26	deafness | non-syndromic deafness	0	0	0.01165614743	0										
9843210	2706	D034381	GJB2 | connexin 26	Hearing impairment | autosomal dominant hearing impairment | hearing impairment | hearing loss	0	0	0.03365538269	0										
9843210	2707	C537845	GJB3 | Gjb3 | gap junction protein beta-3	hereditary hearing impairment	0	0	0.3709219098	0										
9843210	2707	D003638	GJB3 | Gjb3 | gap junction protein beta-3	deafness | non-syndromic deafness	1	0	0.1266562194	1	0.5	only			n		1	1	mbg	More than 50% of the cases of profound early-onset deafness are caused by genetic factors. Over 40 loci for non-syndromic deafness have been genetically mapped, and mutations in several genes have been shown to cause hearing loss.
9843210	2707	D034381	GJB3 | Gjb3 | gap junction protein beta-3	Hearing impairment | autosomal dominant hearing impairment | hearing impairment | hearing loss	0	1	0.9807443023	1	1								e	These findings suggest that mutations in GJB3 may be responsible for bilateral high-frequency hearing impairment.
9843210	3592	C537845	p35	hereditary hearing impairment	0	0	0.003873408772	0										
9843210	3592	D003638	p35	deafness | non-syndromic deafness	0	0	0.01019482128	0										
9843210	3592	D034381	p35	Hearing impairment | autosomal dominant hearing impairment | hearing impairment | hearing loss	0	0	0.00888671726	0										
10323730	190	C536757	DAX-1 | DAX1	X-linked AHC | X-linked congenital adrenal hypoplasia	1	1	0.9944043159	0										
10323730	190	D000312	DAX-1 | DAX1	AHC	0	1	0.9516712427	1	0.5	only		Dr	n				1bg	We identified a DAX1 missense mutation, a substitution of arginine for leucine at codon 466 (Leu466Arg), in an infant with X-linked congenital adrenal hypoplasia (AHC).
10487688	5979	D006623	RET	VHL tumor | VHL-associated tumors | von-Hippel-Lindau disease	0	0	0.02427119017	0										
10487688	5979	D009369	RET	tumor	0	0	0.003134189406	0										
10487688	5979	D010673	RET	pheochromocytoma | pheochromocytomas | sporadic pheochromocytomas	0	0	0.08888221532	0										
10487688	5979	D018813	RET	multiple endocrine neoplasia type 2	0	0	0.004812528845	0										
10487688	7428	D006623	VHL	VHL tumor | VHL-associated tumors | von-Hippel-Lindau disease	0	0	0.02599306405	0										
10487688	7428	D009369	VHL	tumor	0	0	0.004611948971	0										
10487688	7428	D010673	VHL	pheochromocytoma | pheochromocytomas | sporadic pheochromocytomas	0	1	0.8353500962	1	0.5	only		Gm	n				1bg	Although the two major familial forms of pheochromocytomas, multiple endocrine neoplasia type 2 and von-Hippel-Lindau disease (VHL), have been associated with mutations of the RET and VHL genes, respectively, the molecular pathogenesis of sporadic pheochromocytomas is largely unknown.
10487688	7428	D018813	VHL	multiple endocrine neoplasia type 2	0	0	0.01179205347	0										
10487688	8453	D006623	CUL2	VHL tumor | VHL-associated tumors | von-Hippel-Lindau disease	0	0	0.4245435297	0										
10487688	8453	D009369	CUL2	tumor	0	0	0.04662279785	0										
10487688	8453	D010673	CUL2	pheochromocytoma | pheochromocytomas | sporadic pheochromocytomas	1	1	0.9779892564	0	1						1	1	e	Although our findings suggest that CUL2 does not play a major role in the pathogenesis of pheochromocytomas, it is still unknown whether epigenetic mechanisms are involved in its inactivation in VHL-associated tumors.
10487688	8453	D018813	CUL2	multiple endocrine neoplasia type 2	0	0	0.006846896373	0										
10545596	2022	D013683	ENDOGLIN | endoglin	autosomal dominant vascular disorder hereditary hemorrhagic telangiectasia type | hereditary hemorrhagic telangiectasia	1	1	0.9864968657	0										
10545596	2022	D058495	ENDOGLIN | endoglin	haploinsufficiency	0	1	0.9549667835	1	0									
10690530	7421	D008545	VDR | Vitamin D receptor | vitamin D receptor	malignant melanoma	1	1	0.9802748561	0										
10690530	7421	D009101	VDR | Vitamin D receptor | vitamin D receptor	MM	0	1	0.983525753	1	1	annotation different in Web		Dk					e	These data suggest that 1,25(OH)2D3, the ligand of the VDR, may have a protective influence in MM, as has been proposed for other malignancies.
10690530	7421	D009369	VDR | Vitamin D receptor | vitamin D receptor	malignancies | thicker tumors	0	0	0.007411813829	0										
10694685	7051	D007057	TGM1 | transglutaminase 1	ichthyosis	0	0	0.05924919993	0										
10694685	7051	D017490	TGM1 | transglutaminase 1	Lamellar ichthyosis | lamellar ichthyosis	1	1	0.980902791	0										
10770218	359	D006319	aquaporin-2	sensorineural deafness	0	1	0.5088200569	1	1	only							m	In addition, a recurrent missense mutation (A147T) within the aquaporin-2 gene was identified in a female patient with autosomal recessive NDI associated with sensorineural deafness.
10770218	359	D018500	aquaporin-2	NDI | X-Linked nephrogenic diabetes insipidus | autosomal recessive NDI | nephrogenic diabetes insipidus	0	0	0.09729639441	0										
10770218	359	D030342	aquaporin-2	inherited disorder | molecular defects	0	0	0.003091257997	0										
10770218	551	D006319	vasopressin	sensorineural deafness	0	0	0.1201139465	0										
10770218	551	D018500	vasopressin	NDI | X-Linked nephrogenic diabetes insipidus | autosomal recessive NDI | nephrogenic diabetes insipidus	0	0	0.4518021941	0										
10770218	551	D030342	vasopressin	inherited disorder | molecular defects	0	0	0.007249449845	0										
10770218	554	D006319	AVPR2	sensorineural deafness	0	0	0.02786670253	0										
10770218	554	D018500	AVPR2	NDI | X-Linked nephrogenic diabetes insipidus | autosomal recessive NDI | nephrogenic diabetes insipidus	1	0	0.2109764665	1	1	only							1bg	X-Linked nephrogenic diabetes insipidus (NDI) is a rare inherited disorder characterized by the excretion of abnormal large volumes of diluted urine mainly caused by mutations in the V2 vasopressin receptor (AVPR2) gene.
10770218	554	D030342	AVPR2	inherited disorder | molecular defects	0	0	0.004571763333	0										
10794074	4987	D007022	Nociceptin receptor | nociceptin receptor	hypotension	0	1	0.9594786763	1	1	annotation different in Web							0	Nociceptin receptor activation produces nitric oxide-mediated systemic hypotension.
10794074	5368	D007022	Nociceptin | nociceptin	hypotension	1	0	0.4699173868	1	0	annotation different in Web		Gi						
10914558	4609	D009190	c-MYC	myelodysplastic syndrome	1	1	0.9649864435	0										
